order_id,customer_id,order_date,status,channel,order_total
736812,54726,2025-11-04,delivered,web,96.99
802207,43428,2025-09-14,shipped,mobile_app,194.73
692998,83565,2025-03-05,delivered,mobile_app,183.8
555819,43297,2025-11-15,delivered,marketplace,224.96
954980,18361,2025-06-06,delivered,web,355.93
781483,24419,2025-10-26,cancelled,web,76.97
574685,27171,2025-07-28,delivered,mobile_app,81.45
916765,37099,2025-12-07,returned,mobile_app,103.47
853173,79046,2025-08-21,cancelled,mobile_app,408.32
654794,14654,2025-03-26,delivered,web,1699.9
617369,66465,2025-12-21,delivered,mobile_app,349.93
644461,63767,2025-12-23,delivered,marketplace,100.95
513483,21065,2025-08-16,delivered,marketplace,179.95
801749,87057,2025-11-19,delivered,mobile_app,560.83
961614,34869,2025-11-03,delivered,web,7.49
573606,65190,2025-03-21,delivered,marketplace,358.97
875021,15702,2025-09-01,delivered,mobile_app,26.99
922733,51085,2025-12-11,delivered,web,445.98
769899,48981,2025-10-11,delivered,mobile_app,102.93
676351,83441,2025-09-20,returned,marketplace,234.41
504764,36934,2025-12-16,delivered,marketplace,104.99
562766,71912,2025-09-02,delivered,mobile_app,247.45
980985,79114,2025-09-15,delivered,mobile_app,199.91
766967,83517,2025-09-23,shipped,mobile_app,107.97
719117,31565,2025-11-11,delivered,web,327.94
945979,27704,2025-04-14,delivered,mobile_app,966.93
664984,44068,2025-11-17,delivered,mobile_app,194.42
520681,71019,2025-11-02,delivered,web,64.93
615047,19436,2025-08-10,delivered,mobile_app,486.91
749755,74242,2025-11-04,processing,mobile_app,124.48
805150,20828,2025-02-25,processing,web,317.44
835150,60968,2025-05-28,delivered,mobile_app,409.37
878622,76153,2025-05-18,delivered,mobile_app,9.99
600080,11096,2025-04-21,delivered,web,782.79
628969,72987,2025-12-06,cancelled,web,695.44
749263,75923,2025-12-17,delivered,web,394.68
507157,85088,2025-03-28,processing,mobile_app,480.85
653790,37743,2025-04-14,delivered,mobile_app,161.99
553286,57663,2025-11-17,delivered,marketplace,115.78
658936,56395,2025-10-21,delivered,marketplace,414.65
543346,87955,2025-10-27,delivered,mobile_app,44.94
694080,55325,2025-05-28,cancelled,mobile_app,28.99
702756,37045,2025-11-17,delivered,web,2296.58
754310,83047,2025-12-15,delivered,marketplace,824.8
